SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Quarter,AverageQuarterReturn,Year,AverageYearlyReturn,,,
171,Cosmos,ATOM,1/9/2019,2.226421361,2.012013201,2.041727097,2.138348093,110298864,407758260.3,,,,,,,
172,Cosmos,ATOM,2/9/2019,2.172283085,2.06760796,2.137407392,2.120806614,117415985,404413303.1,,,,,,,
173,Cosmos,ATOM,3/9/2019,2.220268606,2.11584322,2.119879798,2.161518419,127964523.9,412176573.6,,,,,,,
174,Cosmos,ATOM,4/9/2019,2.163435011,2.032474243,2.159652699,2.047813462,107148222.3,390494352.8,,,,,,,
175,Cosmos,ATOM,5/9/2019,2.049751993,1.910991952,2.046339577,1.948078182,113255491,371475987.9,,,,,,,
176,Cosmos,ATOM,6/9/2019,2.252826647,1.944801011,1.948078182,2.043330199,133395732.5,389639446.4,,,,,,,
177,Cosmos,ATOM,7/9/2019,2.287472309,2.038232305,2.046778102,2.175767442,146368018.5,414893697.5,,,,,,,
178,Cosmos,ATOM,8/9/2019,2.745551391,2.159430436,2.175767442,2.734102502,196201838.9,521361738.7,,,,,,,
179,Cosmos,ATOM,9/9/2019,2.96387365,2.454247559,2.734102502,2.740284832,225072496.6,522540637.6,,,,,,,
180,Cosmos,ATOM,10/9/2019,2.934082735,2.538529143,2.738977446,2.594302033,189092870.9,494703405.4,,,,,,,
181,Cosmos,ATOM,11/9/2019,2.698344779,2.424535808,2.598294503,2.574536339,144069230.7,490934316.1,,,,,,,
182,Cosmos,ATOM,12/9/2019,3.202408205,2.510250661,2.581558246,3.080332047,192961556.7,587383710.3,,,,,,,
183,Cosmos,ATOM,13/9/2019,3.298107477,3.013165026,3.080332047,3.173574124,199583059.5,605163896.4,,,,,,,
184,Cosmos,ATOM,14/9/2019,3.235047668,2.999977434,3.173089632,3.105747572,173629172.4,592230157.1,,,,,,,
185,Cosmos,ATOM,15/9/2019,3.541264082,3.10202702,3.105196482,3.448310301,189272973.5,657552909.1,,,,,,,
186,Cosmos,ATOM,16/9/2019,3.563088114,3.179764943,3.444851961,3.319442679,180803359.7,632979343.5,,,,,,,
187,Cosmos,ATOM,17/9/2019,3.441620242,3.215771995,3.328590023,3.322425716,177431367.1,633548174.1,,,,,,,
188,Cosmos,ATOM,18/9/2019,3.396951921,3.264840535,3.314465435,3.310054704,163496341.5,631189165.1,,,,,,,
189,Cosmos,ATOM,19/9/2019,3.307332964,2.943599131,3.307332964,3.130262991,184157574.6,596904964.1,,,,,,,
190,Cosmos,ATOM,20/9/2019,3.256752688,3.078776694,3.138014652,3.184975591,148024573.4,607338024.3,,,,,,,
191,Cosmos,ATOM,21/9/2019,3.288110676,3.035768663,3.183295153,3.074527492,146995495.1,586276848.8,,,,,,,
192,Cosmos,ATOM,22/9/2019,3.083596181,2.814154415,3.074326966,2.910507396,140188583.9,555000112.5,,,,,,,
193,Cosmos,ATOM,23/9/2019,2.919305831,2.580060809,2.919305831,2.580060809,129682436.3,491987768.6,,,,,,,
194,Cosmos,ATOM,24/9/2019,2.661349372,2.093344763,2.582654587,2.241803213,188249040.5,427485955.6,,,,,,,
195,Cosmos,ATOM,25/9/2019,2.422745673,2.163023654,2.233317167,2.303594562,177658028.1,439268851.5,,,,,,,
196,Cosmos,ATOM,26/9/2019,2.352822046,2.087979474,2.300976647,2.221994011,140448612.8,423708570,,,,,,,
197,Cosmos,ATOM,27/9/2019,2.293057538,2.171212371,2.224325375,2.29135375,113206441.1,436934670.3,,,,,,,
